2021-02-23 21:19:23.367  INFO 80094 --- [main] c.c.calculator.CalculatorApplication     : Starting CalculatorApplication using Java 15.0.1 on Inercios-MacBook-Pro.local with PID 80094 (/Users/inerciobelton/IdeaProjects/Rest Calculator/calculator/out/production/classes started by inerciobelton in /Users/inerciobelton/IdeaProjects/Rest Calculator)
2021-02-23 21:19:23.440  INFO 80094 --- [main] c.c.calculator.CalculatorApplication     : No active profile set, falling back to default profiles: default
2021-02-23 21:19:25.096  INFO 80094 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2021-02-23 21:19:25.106  INFO 80094 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-02-23 21:19:25.106  INFO 80094 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.43]
2021-02-23 21:19:25.174  INFO 80094 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-02-23 21:19:25.175  INFO 80094 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1617 ms
2021-02-23 21:19:25.688  INFO 80094 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-02-23 21:19:25.819  WARN 80094 --- [main] ion$DefaultTemplateResolverConfiguration : Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-02-23 21:19:25.974  INFO 80094 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2021-02-23 21:19:25.983  INFO 80094 --- [main] o.s.a.r.c.CachingConnectionFactory       : Attempting to connect to: [localhost:5672]
2021-02-23 21:19:26.038  INFO 80094 --- [main] o.s.a.r.c.CachingConnectionFactory       : Created new connection: rabbitConnectionFactory#80bfdc6:0/SimpleConnection@58253c57 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 53991]
2021-02-23 21:19:26.127  INFO 80094 --- [main] c.c.calculator.CalculatorApplication     : Started CalculatorApplication in 3.48 seconds (JVM running for 4.764)
2021-02-23 21:19:26.182  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=1.0, secondValue=3.0, result=4}
2021-02-23 21:19:26.185  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sub, firstValue=3.0, secondValue=3.0, result=0}
2021-02-23 21:19:26.187  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=2.0, secondValue=2.0, result=4}
2021-02-23 21:19:26.189  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=1.0, secondValue=2.0, result=3}
2021-02-23 21:19:26.191  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=1.0, secondValue=9.0, result=10}
2021-02-23 21:19:26.193  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=9.0, result=9}
2021-02-23 21:19:26.194  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=9.0, result=9}
2021-02-23 21:19:26.197  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=9.0, result=9}
2021-02-23 21:19:26.199  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=9.0, result=9}
2021-02-23 21:19:26.201  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=9.0, result=9}
2021-02-23 21:19:26.204  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=1.0, secondValue=11.0, result=11}
2021-02-23 21:19:26.208  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=1.0, secondValue=3.0, result=4}
2021-02-23 21:19:26.211  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sudivm, firstValue=1.0, secondValue=3.0, result=0}
2021-02-23 21:19:26.219  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=div, firstValue=1.0, secondValue=3.0, result=0.3333333333333333333333333333333333}
2021-02-23 21:19:26.221  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=6.0, secondValue=45.0, result=51}
2021-02-23 21:19:26.234  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=6.0, secondValue=45.0, result=270}
2021-02-23 21:19:26.240  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=div, firstValue=6.0, secondValue=45.0, result=0.1333333333333333333333333333333333}
2021-02-23 21:19:26.243  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=6.0, secondValue=45.0, result=51}
2021-02-23 21:19:26.245  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=2.0, secondValue=-5.0, result=-3}
2021-02-23 21:19:26.247  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sub, firstValue=2.0, secondValue=-5.0, result=7}
2021-02-23 21:19:26.251  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=pro, firstValue=2.0, secondValue=-5.0, result=-10}
2021-02-23 21:19:26.256  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=div, firstValue=2.0, secondValue=-5.0, result=-0.4}
2021-02-23 21:19:34.293  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=3.0, secondValue=3.0, result=6}
2021-02-23 21:19:54.797  INFO 80094 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] c.c.c.r.ResultConsumer                   : Received operation is: Operation{operationType=sum, firstValue=3.0, secondValue=3.0, result=6}
